Complexity,Loss,Equation
1,0.79197043,"M"
3,0.6159657,"(M / 1.7206964)"
5,0.6143536,"((M + gas_frac) / 3.2681298)"
6,0.54490024,"((M + abs(Vz)) * 0.45740122)"
8,0.3851959,"(((abs(Vz) + M) * 0.63529646) + -0.4775757)"
10,0.3718959,"(((abs(Vz) + -0.75664353) / 1.2611701) + (M * 0.5734202))"
11,0.36269057,"((M + ((-0.7457974 + sqrt(abs(Vz))) * 2.595217)) * 0.6110058)"
12,0.35758913,"((((abs(Vz) ^ 0.7322648) + -0.3485914) + (M * 0.57463145)) + -0.41503978)"
14,0.35727453,"(((((abs(Vz) ^ 0.7216614) + -0.41113114) * 1.0921543) + (M * 0.5865924)) + -0.3529701)"
18,0.35107693,"((((abs(Vz + ((Vz * 0.15953237) * gas_frac)) ^ 0.7216614) + -0.41113114) + (M * 0.5157035)) + -0.3529701)"
20,0.35072935,"(((((abs(Vz + ((Vz * 0.15953237) * gas_frac)) ^ 0.7216614) + -0.41113114) * 1.0921543) + (M * 0.5157035)) + -0.3529701)"
